Smith
123456
569.23
A	2500
D	50.69
K	19.19
O	75.19
M	100
B	300
D	99.23
B	500.25
A	1717.28
K	145.68
O	29.33
M	50
K	38.99
D	71.29
O	22.88
K	54.38
B	100
D	29.33
D	29.55
D	27.68
O	178.34
D	5.74
D	12.88
T	300
D	9.16
T	100
D	75.40
O	129.33
D	7.34
D	13.76

TowMater
9819290
1215.79
A 243
O 78.88
K 315.24
D 7.18
O 8.99
D 199.99
M 27.34
D 1.08
T 50
M 279.28
D 1.08
D 4.47
D 7.61
D 211.42
A 243
T 20
K 108
D 1.08
D 87.34
B 100.08
D 5.75
D 13.12
D 18.17
K 56
B 30.34
O 10.83
D 1.56
D 6.64
D 43.20
D 1.08

Dax
382950
539.02
A	1200
O	764.34
T	100
K	26.45
O	37.89
D	127.65
D	93.45
O	45.67
D	17.54
T	60
K	54.34
D	12.34
D	16.65
O	17.56
M	200
B	500
K	16.76
D	25.65
D	95.65
O	35.67
A	1200
D	45.67
D	32.11
D	90.45
M	300
K	400
D	74.56
T	100
D	45.33
K	50

Janeway
306948
501.06
D	0.98
B	500
D	498.15
M	450
K	35.67
B	150
D	264.34
D	100
K	23.56
T	20
K	17.56
D	5.32
D	10.12
D	90.15
T	20
A	1600
K	550
B	200
D	193.66
O	281.19
M	100
K	37.45
D	184.15
T	100
D	93.25
B	200
D	16.78
O	15.76
D	99
K	15.32

Punjab
132378
873.05
B	300.25
D	60.33
K	800
O	22.50
D	12.37
A	1600
T	23
D	42.75
D	1200.08
M	97.55
D	71
A	550
D	1375.50
T	900
D	200
D	33.93
M	60
B	49.72
D	44
A	96.77
O	10.41
D	325
D	67.43
D	101.25
A	605
T	88
B	29.54
K	27
K	56.23
B	45

Maxwell
252149
1600.89
D	400
M	2000
B	600.23
D	1.79
T	20
D	6.20
D	2.55
M	500
B	1700
O	27
D	1.62
D	11.01
M	3500
D	0.99
B	450
D	67.89
A	520
D	37.40
K	15
D	22.08
D	10.19
B	770
O	35.22
M	300.25
D	6.23
D	17.56
K	33.01
D	2.57
B	860
K	20.56

Joestar
175483
101.54
K   50.00
A	584.64
D	21.21
T	100.00
B	400.00
B   150.00
O	59.99
D	2.99
D	12.59
D	49.99
T	300.00
K	62.78
M	50.00
M	50.00
D	76.84
K	42.45
B	500.00
D	16.34
T	120.00
O	29.99
D	45.56
A	200.00
D	78.54
D	134.76
K	56.24
D	12.45
D	34.23
M	50.00
D	99.99
A	200.00


